country,method,phenomenon_category,preferred_on_right,p_spare_preferred,bias_a,bias_b,n_left,n_right
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,Species,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,SocialValue,1,1.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,Age,0,0.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,Fitness,1,1.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Utilitarianism,1,1.0,-36.42335891723633,36.42335891723633,4,5
IDN,swai,Utilitarianism,0,0.0,-36.42335891723633,36.42335891723633,4,1
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Utilitarianism,1,1.0,-36.42335891723633,36.42335891723633,2,5
IDN,swai,Species,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,Gender,0,0.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,Gender,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,Gender,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Age,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,Age,1,1.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,SocialValue,1,1.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,Gender,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Species,0,0.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,3,3
IDN,swai,SocialValue,1,1.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,SocialValue,1,1.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Species,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Age,1,1.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,1,1
IDN,swai,SocialValue,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,SocialValue,1,1.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Age,1,1.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,Fitness,1,1.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Utilitarianism,1,1.0,-36.42335891723633,36.42335891723633,2,4
IDN,swai,Age,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Age,0,0.0,-36.42335891723633,36.42335891723633,4,4
IDN,swai,Species,0,0.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,SocialValue,1,1.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Gender,0,0.0,-36.42335891723633,36.42335891723633,2,2
IDN,swai,Fitness,0,0.0,-36.42335891723633,36.42335891723633,5,5
IDN,swai,Gender,1,1.0,-36.42335891723633,36.42335891723633,4,4
