country,method,layer,alpha,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
JPN,activation_steering,32,1.5,Fitness,0,0.8671875,3,3
JPN,activation_steering,32,1.5,Species,0,0.9453125,3,3
JPN,activation_steering,32,1.5,SocialValue,0,0.89453125,3,3
JPN,activation_steering,32,1.5,SocialValue,0,0.8359375,3,3
JPN,activation_steering,32,1.5,SocialValue,0,0.89453125,5,5
JPN,activation_steering,32,1.5,SocialValue,1,0.09521484375,2,2
JPN,activation_steering,32,1.5,SocialValue,0,0.9609375,3,3
JPN,activation_steering,32,1.5,Age,0,0.98046875,1,1
JPN,activation_steering,32,1.5,Fitness,1,0.3203125,3,3
JPN,activation_steering,32,1.5,SocialValue,0,0.9921875,4,4
JPN,activation_steering,32,1.5,SocialValue,0,0.98046875,2,2
JPN,activation_steering,32,1.5,Gender,1,0.0673828125,5,5
JPN,activation_steering,32,1.5,Utilitarianism,1,0.06005859375,4,5
JPN,activation_steering,32,1.5,Utilitarianism,0,0.9609375,4,1
JPN,activation_steering,32,1.5,Fitness,0,0.8515625,4,4
JPN,activation_steering,32,1.5,Utilitarianism,1,0.0673828125,2,5
JPN,activation_steering,32,1.5,Species,0,0.9921875,4,4
JPN,activation_steering,32,1.5,Gender,1,0.3203125,3,3
JPN,activation_steering,32,1.5,Gender,0,0.8515625,1,1
JPN,activation_steering,32,1.5,Gender,0,0.59375,4,4
JPN,activation_steering,32,1.5,SocialValue,0,0.92578125,1,1
JPN,activation_steering,32,1.5,Gender,0,0.53125,3,3
JPN,activation_steering,32,1.5,Gender,1,0.26953125,5,5
JPN,activation_steering,32,1.5,Age,0,0.87890625,4,4
JPN,activation_steering,32,1.5,SocialValue,0,1.0,1,1
JPN,activation_steering,32,1.5,Age,1,0.09521484375,3,3
JPN,activation_steering,32,1.5,Gender,1,0.26953125,3,3
JPN,activation_steering,32,1.5,SocialValue,1,0.07568359375,5,5
JPN,activation_steering,32,1.5,Fitness,0,0.73046875,4,4
JPN,activation_steering,32,1.5,Fitness,0,0.9140625,2,2
JPN,activation_steering,32,1.5,Gender,0,0.53125,5,5
JPN,activation_steering,32,1.5,Species,0,0.99609375,1,1
JPN,activation_steering,32,1.5,SocialValue,0,0.9453125,2,2
JPN,activation_steering,32,1.5,Fitness,0,0.59375,3,3
JPN,activation_steering,32,1.5,SocialValue,1,0.04736328125,4,4
JPN,activation_steering,32,1.5,Gender,1,0.26953125,1,1
JPN,activation_steering,32,1.5,SocialValue,1,0.0849609375,4,4
JPN,activation_steering,32,1.5,Species,0,0.984375,5,5
JPN,activation_steering,32,1.5,Age,1,0.22265625,5,5
JPN,activation_steering,32,1.5,Gender,1,0.015869140625,1,1
JPN,activation_steering,32,1.5,SocialValue,0,0.92578125,5,5
JPN,activation_steering,32,1.5,SocialValue,1,0.0179443359375,4,4
JPN,activation_steering,32,1.5,Age,1,0.10693359375,2,2
JPN,activation_steering,32,1.5,Fitness,1,0.26953125,4,4
JPN,activation_steering,32,1.5,Utilitarianism,1,0.4375,2,4
JPN,activation_steering,32,1.5,Age,0,0.98828125,5,5
JPN,activation_steering,32,1.5,Age,0,0.8671875,4,4
JPN,activation_steering,32,1.5,Species,0,0.9453125,2,2
JPN,activation_steering,32,1.5,Fitness,0,0.8359375,5,5
