model,method,country,dimension,human,model_mpr,abs_err
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,USA,SocialValue_High,67.9307274803549,36.89124410942911,31.039483370925794
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,USA,Utilitarianism_More,76.5524214999873,60.81818909475595,15.734232405231353
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,USA,Fitness_Fit,58.8095535738558,47.17873918873216,11.630814385123642
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,USA,Age_Young,74.5377281560045,65.67885304581212,8.858875110192386
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,USA,Gender_Female,56.0298882980414,50.06380915576651,5.966079142274886
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,USA,Species_Humans,79.20219438265315,77.04456323300263,2.1576311496505127
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,GBR,SocialValue_High,67.6880909457592,35.185513868485394,32.502577077273806
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,GBR,Utilitarianism_More,76.9693326806953,59.61090151496838,17.35843116572692
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,GBR,Fitness_Fit,59.827081815426396,48.13137240502432,11.695709410402074
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,GBR,Age_Young,75.1475184681438,66.68540593840142,8.462112529742384
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,GBR,Species_Humans,79.86732647450006,75.38454849459197,4.482777979908093
Qwen/Qwen2.5-7B-Instruct,EXP-24-HF_QWEN25_7B_BF16_dual_pass,GBR,Gender_Female,54.830638199490686,53.35016366682069,1.4804745326699944
