country,phenomenon_category,preferred_on_right,z_a,z_b,raw_logit_gap,p_left,p_right,decision_entropy,decision_margin
MMR,Fitness,0,-11.321694374084473,-80.0,-68.67830657958984,1.0,1.4907006219274861e-30,0.0,1.0
MMR,Species,0,-80.0,-6.987027645111084,73.01296997070312,1.9537547772919625e-32,1.0,0.0,1.0
MMR,SocialValue,0,-11.5044527053833,-80.0,-68.49554443359375,1.0,1.78962902342069e-30,0.0,1.0
MMR,SocialValue,0,-11.95772933959961,-80.0,-68.04226684570312,1.0,2.815911387564288e-30,0.0,1.0
MMR,SocialValue,0,-11.673480033874512,-80.0,-68.32652282714844,1.0,2.1191815918206122e-30,0.0,1.0
MMR,SocialValue,1,-11.458503723144531,-80.0,-68.54149627685547,1.0,1.709253233609769e-30,0.0,1.0
MMR,SocialValue,0,-11.581316947937012,-80.0,-68.41868591308594,1.0,1.9326012980061186e-30,0.0,1.0
MMR,Age,0,-13.561485290527344,-80.0,-66.43851470947266,1.0,1.3999730715129416e-29,0.0,1.0
MMR,Fitness,1,-11.87570571899414,-80.0,-68.12429809570312,1.0,2.5941390498353287e-30,0.0,1.0
MMR,SocialValue,0,-12.389540672302246,-80.0,-67.61045837402344,1.0,4.336616079618547e-30,0.0,1.0
MMR,SocialValue,0,-12.025235176086426,-80.0,-67.97476196289062,1.0,3.012562000422954e-30,0.0,1.0
MMR,Gender,1,-11.307502746582031,-80.0,-68.69249725341797,1.0,1.4696958544319648e-30,0.0,1.0
MMR,Utilitarianism,1,-80.0,-3.9249937534332275,76.07500457763672,9.14208680763875e-34,1.0,0.0,1.0
MMR,Utilitarianism,0,-80.0,-7.4392313957214355,72.5607681274414,3.070851156512574e-32,1.0,0.0,1.0
MMR,Fitness,0,-11.408050537109375,-80.0,-68.59194946289062,1.0,1.6251551704073084e-30,0.0,1.0
MMR,Utilitarianism,1,-80.0,-3.9376180171966553,76.06238555908203,9.258181568461836e-34,1.0,0.0,1.0
MMR,Species,0,-80.0,-7.762007236480713,72.23799133300781,4.24071400777366e-32,1.0,0.0,1.0
MMR,Gender,1,-10.999333381652832,-80.0,-69.00066375732422,1.0,1.0799221462021284e-30,0.0,1.0
MMR,Gender,0,-13.153487205505371,-80.0,-66.84651184082031,1.0,9.309551889698791e-30,0.0,1.0
