model,method,country,dimension,human,model_mpr,abs_err
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,USA,Utilitarianism_More,76.5524214999873,35.862957169490656,40.68946433049665
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,USA,SocialValue_High,67.9307274803549,41.88076224606099,26.049965234293914
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,USA,Age_Young,74.5377281560045,49.79896531300116,24.738762843003343
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,USA,Species_Humans,79.20219438265315,59.14165653606573,20.060537846587415
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,USA,Fitness_Fit,58.8095535738558,58.05632584627411,0.7532277275816881
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,USA,Gender_Female,56.0298882980414,56.77633984695824,0.7464515489168377
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,GBR,Utilitarianism_More,76.9693326806953,35.57566312965109,41.39366955104421
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,GBR,SocialValue_High,67.6880909457592,41.91277608277611,25.775314862983087
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,GBR,Age_Young,75.1475184681438,50.13029509170356,25.017223376440242
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,GBR,Species_Humans,79.86732647450006,58.72665880790099,21.14066766659907
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,GBR,Gender_Female,54.830638199490686,57.36838685781207,2.5377486583213837
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,GBR,Fitness_Fit,59.827081815426396,58.67295228194017,1.154129533486227
unsloth/Phi-3.5-mini-instruct,EXP-24-PHI35_MINI_dual_pass,DEU,Utilitarianism_More,75.14357520664106,29.965702813929617,45.17787239271144
