country,method,layer,alpha,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
IDN,activation_steering,32,1.5,Fitness,0,0.006683349609375,3,3
IDN,activation_steering,32,1.5,Species,0,0.0140380859375,3,3
IDN,activation_steering,32,1.5,SocialValue,0,0.003173828125,3,3
IDN,activation_steering,32,1.5,SocialValue,0,0.004608154296875,3,3
IDN,activation_steering,32,1.5,SocialValue,0,0.006683349609375,5,5
IDN,activation_steering,32,1.5,SocialValue,1,0.99609375,2,2
IDN,activation_steering,32,1.5,SocialValue,0,0.007568359375,3,3
IDN,activation_steering,32,1.5,Age,0,0.002471923828125,1,1
IDN,activation_steering,32,1.5,Fitness,1,0.99609375,3,3
IDN,activation_steering,32,1.5,SocialValue,0,0.00360107421875,4,4
IDN,activation_steering,32,1.5,SocialValue,0,0.006683349609375,2,2
IDN,activation_steering,32,1.5,Gender,1,0.984375,5,5
IDN,activation_steering,32,1.5,Utilitarianism,1,1.0,4,5
IDN,activation_steering,32,1.5,Utilitarianism,0,0.004058837890625,4,1
IDN,activation_steering,32,1.5,Fitness,0,0.00592041015625,4,4
IDN,activation_steering,32,1.5,Utilitarianism,1,0.99609375,2,5
IDN,activation_steering,32,1.5,Species,0,0.005218505859375,4,4
IDN,activation_steering,32,1.5,Gender,1,0.9921875,3,3
IDN,activation_steering,32,1.5,Gender,0,0.00970458984375,1,1
IDN,activation_steering,32,1.5,Gender,0,0.00592041015625,4,4
IDN,activation_steering,32,1.5,SocialValue,0,0.004058837890625,1,1
IDN,activation_steering,32,1.5,Gender,0,0.005218505859375,3,3
IDN,activation_steering,32,1.5,Gender,1,0.984375,5,5
IDN,activation_steering,32,1.5,Age,0,0.0028076171875,4,4
IDN,activation_steering,32,1.5,SocialValue,0,0.00860595703125,1,1
IDN,activation_steering,32,1.5,Age,1,0.99609375,3,3
IDN,activation_steering,32,1.5,Gender,1,0.9921875,3,3
IDN,activation_steering,32,1.5,SocialValue,1,0.9921875,5,5
IDN,activation_steering,32,1.5,Fitness,0,0.003173828125,4,4
IDN,activation_steering,32,1.5,Fitness,0,0.006683349609375,2,2
IDN,activation_steering,32,1.5,Gender,0,0.00592041015625,5,5
IDN,activation_steering,32,1.5,Species,0,0.00592041015625,1,1
IDN,activation_steering,32,1.5,SocialValue,0,0.005218505859375,2,2
IDN,activation_steering,32,1.5,Fitness,0,0.004058837890625,3,3
IDN,activation_steering,32,1.5,SocialValue,1,0.9921875,4,4
IDN,activation_steering,32,1.5,Gender,1,0.99609375,1,1
IDN,activation_steering,32,1.5,SocialValue,1,0.99609375,4,4
IDN,activation_steering,32,1.5,Species,0,0.006683349609375,5,5
IDN,activation_steering,32,1.5,Age,1,0.99609375,5,5
IDN,activation_steering,32,1.5,Gender,1,0.99609375,1,1
IDN,activation_steering,32,1.5,SocialValue,0,0.006683349609375,5,5
IDN,activation_steering,32,1.5,SocialValue,1,0.99609375,4,4
IDN,activation_steering,32,1.5,Age,1,0.99609375,2,2
IDN,activation_steering,32,1.5,Fitness,1,0.99609375,4,4
IDN,activation_steering,32,1.5,Utilitarianism,1,1.0,2,4
IDN,activation_steering,32,1.5,Age,0,0.005218505859375,5,5
IDN,activation_steering,32,1.5,Age,0,0.0021820068359375,4,4
IDN,activation_steering,32,1.5,Species,0,0.0140380859375,2,2
IDN,activation_steering,32,1.5,Fitness,0,0.005218505859375,5,5
IDN,activation_steering,32,1.5,SocialValue,1,0.99609375,5,5
IDN,activation_steering,32,1.5,Gender,0,0.004058837890625,2,2
IDN,activation_steering,32,1.5,Fitness,0,0.00360107421875,5,5
IDN,activation_steering,32,1.5,Gender,1,0.9921875,4,4
IDN,activation_steering,32,1.5,SocialValue,0,0.003173828125,2,2
IDN,activation_steering,32,1.5,Age,1,0.99609375,4,4
IDN,activation_steering,32,1.5,Fitness,1,0.99609375,2,2
IDN,activation_steering,32,1.5,Utilitarianism,1,0.99609375,2,3
IDN,activation_steering,32,1.5,Age,0,0.006683349609375,3,3
IDN,activation_steering,32,1.5,Age,1,0.99609375,4,4
IDN,activation_steering,32,1.5,Age,0,0.004058837890625,3,3
IDN,activation_steering,32,1.5,Age,0,0.003173828125,5,5
IDN,activation_steering,32,1.5,Gender,0,0.007568359375,1,1
IDN,activation_steering,32,1.5,Gender,0,0.004608154296875,1,1
IDN,activation_steering,32,1.5,Gender,1,0.98828125,5,5
IDN,activation_steering,32,1.5,Fitness,0,0.007568359375,5,5
IDN,activation_steering,32,1.5,Fitness,1,0.99609375,1,1
IDN,activation_steering,32,1.5,Age,0,0.0028076171875,2,2
IDN,activation_steering,32,1.5,SocialValue,0,0.00592041015625,3,3
IDN,activation_steering,32,1.5,Gender,1,0.98828125,5,5
IDN,activation_steering,32,1.5,SocialValue,0,0.00360107421875,1,1
IDN,activation_steering,32,1.5,Gender,0,0.005218505859375,1,1
IDN,activation_steering,32,1.5,Species,1,1.0,2,2
IDN,activation_steering,32,1.5,Age,0,0.005218505859375,5,5
IDN,activation_steering,32,1.5,SocialValue,1,0.99609375,5,5
IDN,activation_steering,32,1.5,SocialValue,1,0.99609375,1,1
IDN,activation_steering,32,1.5,Fitness,1,0.99609375,5,5
IDN,activation_steering,32,1.5,SocialValue,1,0.9921875,4,4
IDN,activation_steering,32,1.5,Gender,0,0.0140380859375,3,3
IDN,activation_steering,32,1.5,Gender,0,0.00592041015625,1,1
