country,baseline,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
GBR,B3_long,Fitness,0,0.0,3,3
GBR,B3_long,Species,0,0.0,3,3
GBR,B3_long,SocialValue,0,0.0,3,3
GBR,B3_long,SocialValue,0,0.0,3,3
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,2,2
GBR,B3_long,SocialValue,0,0.0,3,3
GBR,B3_long,Age,0,0.0,1,1
GBR,B3_long,Fitness,1,1.0,3,3
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,2,2
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,Utilitarianism,1,1.0,4,5
GBR,B3_long,Utilitarianism,0,0.0,4,1
GBR,B3_long,Fitness,0,0.0,4,4
GBR,B3_long,Utilitarianism,1,1.0,2,5
GBR,B3_long,Species,0,0.3775406777858734,4,4
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Gender,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,Age,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,Age,1,1.0,3,3
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,Fitness,0,0.0,4,4
GBR,B3_long,Fitness,0,0.0,2,2
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,Species,0,0.9933071732521057,1,1
GBR,B3_long,SocialValue,0,0.0,2,2
GBR,B3_long,Fitness,0,0.0,3,3
GBR,B3_long,SocialValue,1,0.43782350420951843,4,4
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Species,0,0.0,5,5
GBR,B3_long,Age,1,1.0,5,5
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Age,1,1.0,2,2
GBR,B3_long,Fitness,1,1.0,4,4
