country,phenomenon_category,preferred_on_right,z_a,z_b,raw_logit_gap,p_left,p_right,decision_entropy,decision_margin
USA,Fitness,0,-11.240541458129883,-80.0,-68.75946044921875,1.0,1.3745031934277991e-30,0.0,1.0
USA,Species,0,-80.0,-6.84876823425293,73.15122985839844,1.7014709144024524e-32,1.0,0.0,1.0
USA,SocialValue,0,-11.375903129577637,-80.0,-68.62409973144531,1.0,1.5737370726718322e-30,0.0,1.0
USA,SocialValue,0,-11.969513893127441,-80.0,-68.03048706054688,1.0,2.849278311929893e-30,0.0,1.0
USA,SocialValue,0,-11.67915153503418,-80.0,-68.32084655761719,1.0,2.1312447969673947e-30,0.0,1.0
USA,SocialValue,1,-11.653615951538086,-80.0,-68.34638214111328,1.0,2.0775113515189908e-30,0.0,1.0
USA,SocialValue,0,-11.648050308227539,-80.0,-68.3519515991211,1.0,2.0659726989713192e-30,0.0,1.0
USA,Age,0,-14.414501190185547,-80.0,-65.58549499511719,1.0,3.2853484984126277e-29,0.0,1.0
USA,Fitness,1,-11.843165397644043,-80.0,-68.1568374633789,1.0,2.511085954090975e-30,0.0,1.0
USA,SocialValue,0,-12.383089065551758,-80.0,-67.61691284179688,1.0,4.308716050340198e-30,0.0,1.0
USA,SocialValue,0,-12.02519702911377,-80.0,-67.97480010986328,1.0,3.0124468960161215e-30,0.0,1.0
USA,Gender,1,-11.180868148803711,-80.0,-68.81912994384766,1.0,1.2948863027697691e-30,0.0,1.0
USA,Utilitarianism,1,-80.0,-4.047467231750488,75.95252990722656,1.0333212478262089e-33,1.0,0.0,1.0
USA,Utilitarianism,0,-80.0,-10.601629257202148,69.39836883544922,7.255566788077609e-31,1.0,0.0,1.0
USA,Fitness,0,-11.408050537109375,-80.0,-68.59194946289062,1.0,1.6251551704073084e-30,0.0,1.0
USA,Utilitarianism,1,-80.0,-3.9376180171966553,76.06238555908203,9.258181568461836e-34,1.0,0.0,1.0
USA,Species,0,-80.0,-7.762007236480713,72.23799133300781,4.24071400777366e-32,1.0,0.0,1.0
USA,Gender,1,-10.876396179199219,-80.0,-69.12360382080078,1.0,9.549932397040815e-31,0.0,1.0
USA,Gender,0,-13.687207221984863,-80.0,-66.31278991699219,1.0,1.587527502197939e-29,0.0,1.0
USA,Gender,0,-11.047922134399414,-80.0,-68.95207977294922,1.0,1.1336846498708846e-30,0.0,1.0
USA,SocialValue,0,-12.06506633758545,-80.0,-67.9349365234375,1.0,3.134959550366166e-30,0.0,1.0
USA,Gender,0,-12.257182121276855,-80.0,-67.7428207397461,1.0,3.798977689315159e-30,0.0,1.0
USA,Gender,1,-10.965280532836914,-80.0,-69.03472137451172,1.0,1.0437618711007774e-30,0.0,1.0
USA,Age,0,-11.985381126403809,-80.0,-68.01461791992188,1.0,2.894854766979071e-30,0.0,1.0
USA,SocialValue,0,-13.50848388671875,-80.0,-66.49151611328125,1.0,1.3277046568356872e-29,0.0,1.0
USA,Age,1,-13.374675750732422,-80.0,-66.62532043457031,1.0,1.1614244545672389e-29,0.0,1.0
USA,Gender,1,-12.072447776794434,-80.0,-67.92755126953125,1.0,3.158197851167798e-30,0.0,1.0
USA,SocialValue,1,-11.035017013549805,-80.0,-68.96498107910156,1.0,1.119152530429183e-30,0.0,1.0
USA,Fitness,0,-12.232776641845703,-80.0,-67.76722717285156,1.0,3.707380912549933e-30,0.0,1.0
USA,Fitness,0,-12.662775993347168,-80.0,-67.33722686767578,1.0,5.6992006066849404e-30,0.0,1.0
USA,Gender,0,-12.357673645019531,-80.0,-67.64232635498047,1.0,4.2005961488216214e-30,0.0,1.0
USA,Species,0,-80.0,-8.105318069458008,71.89468383789062,5.977719675591088e-32,1.0,0.0,1.0
USA,SocialValue,0,-12.55861759185791,-80.0,-67.4413833618164,1.0,5.135460223262222e-30,0.0,1.0
USA,Fitness,0,-11.654821395874023,-80.0,-68.34517669677734,1.0,2.0800171293167517e-30,0.0,1.0
USA,SocialValue,1,-11.508135795593262,-80.0,-68.49186706542969,1.0,1.796222136135582e-30,0.0,1.0
USA,Gender,1,-14.663664817810059,-80.0,-65.33633422851562,1.0,4.2149319889186e-29,0.0,1.0
USA,SocialValue,1,-11.534846305847168,-80.0,-68.46515655517578,1.0,1.844846789095764e-30,0.0,1.0
USA,Species,0,-80.0,-2.515307664871216,77.48469543457031,2.2326692259270615e-34,1.0,0.0,1.0
USA,Age,1,-11.590597152709961,-80.0,-68.4094009399414,1.0,1.9506288674494254e-30,0.0,1.0
USA,Gender,1,-14.698912620544434,-80.0,-65.30108642578125,1.0,4.3661484849880406e-29,0.0,1.0
USA,SocialValue,0,-13.317086219787598,-80.0,-66.68291473388672,1.0,1.096422889543039e-29,0.0,1.0
USA,SocialValue,1,-12.33785343170166,-80.0,-67.66214752197266,1.0,4.11815506245608e-30,0.0,1.0
USA,Age,1,-13.81964111328125,-80.0,-66.18035888671875,1.0,1.8123218948435402e-29,0.0,1.0
USA,Fitness,1,-11.03009033203125,-80.0,-68.96990966796875,1.0,1.113650276471854e-30,0.0,1.0
USA,Utilitarianism,1,-80.0,-3.941314935684204,76.05868530273438,9.292502330086e-34,1.0,0.0,1.0
USA,Age,0,-11.975903511047363,-80.0,-68.02409362792969,1.0,2.867553393463709e-30,0.0,1.0
USA,Age,0,-12.213096618652344,-80.0,-67.78690338134766,1.0,3.635146502573259e-30,0.0,1.0
USA,Species,0,-80.0,-5.189351558685303,74.8106460571289,3.237048425303583e-33,1.0,0.0,1.0
USA,Fitness,0,-12.474989891052246,-80.0,-67.52500915527344,1.0,4.723469577762296e-30,0.0,1.0
USA,SocialValue,1,-11.106000900268555,-80.0,-68.89399719238281,1.0,1.2014818037720744e-30,0.0,1.0
USA,Gender,0,-12.649139404296875,-80.0,-67.35086059570312,1.0,5.6220268634856595e-30,0.0,1.0
USA,Fitness,0,-10.817891120910645,-80.0,-69.1821060180664,1.0,9.007267780972408e-31,0.0,1.0
USA,Gender,1,-10.50351619720459,-80.0,-69.4964828491211,1.0,6.577502149913126e-31,0.0,1.0
USA,SocialValue,0,-11.003874778747559,-80.0,-68.99612426757812,1.0,1.0848356185490175e-30,0.0,1.0
USA,Age,1,-12.544062614440918,-80.0,-67.45594024658203,1.0,5.061245340403283e-30,0.0,1.0
USA,Fitness,1,-11.313017845153809,-80.0,-68.68698120117188,1.0,1.4778252912436075e-30,0.0,1.0
USA,Utilitarianism,1,-80.0,-4.483529567718506,75.51647186279297,1.5981332427558636e-33,1.0,0.0,1.0
USA,Age,0,-11.867585182189941,-80.0,-68.13241577148438,1.0,2.5731657855884094e-30,0.0,1.0
USA,Age,1,-11.911210060119629,-80.0,-68.08879089355469,1.0,2.687904378578952e-30,0.0,1.0
USA,Age,0,-12.81578254699707,-80.0,-67.18421936035156,1.0,6.64147085977301e-30,0.0,1.0
USA,Age,0,-11.924278259277344,-80.0,-68.07572174072266,1.0,2.7232638128889747e-30,0.0,1.0
