country,phenomenon_category,preferred_on_right,z_a,z_b,raw_logit_gap,p_left,p_right,decision_entropy,decision_margin
VNM,Fitness,0,-80.0,-5.8177409172058105,74.18225860595703,6.068123713503366e-33,1.0,0.0,1.0
VNM,Species,0,-80.0,-5.549874782562256,74.45012664794922,4.6421678833773274e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.303038597106934,74.69696044921875,3.626789087448482e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.232278823852539,74.7677230834961,3.3790172861562066e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.533617973327637,74.46638488769531,4.567304321593302e-33,1.0,0.0,1.0
VNM,SocialValue,1,-80.0,-5.026920318603516,74.97308349609375,2.7517158278658467e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.47466516494751,74.52533721923828,4.305833970352116e-33,1.0,0.0,1.0
VNM,Age,0,-80.0,-4.962653160095215,75.03734588623047,2.5804457499380625e-33,1.0,0.0,1.0
VNM,Fitness,1,-80.0,-5.556682586669922,74.44331359863281,4.6739029247716675e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-4.935805320739746,75.06419372558594,2.512088182043854e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.235804080963135,74.76419830322266,3.390948553817053e-33,1.0,0.0,1.0
VNM,Gender,1,-80.0,-6.156477928161621,73.84352111816406,8.514639698251483e-33,1.0,0.0,1.0
VNM,Utilitarianism,1,-80.0,-5.965163707733154,74.03483581542969,7.032007040658564e-33,1.0,0.0,1.0
VNM,Utilitarianism,0,-80.0,-4.947114944458008,75.05288696289062,2.540652878439828e-33,1.0,0.0,1.0
VNM,Fitness,0,-80.0,-5.697618007659912,74.30238342285156,5.381271344058364e-33,1.0,0.0,1.0
VNM,Utilitarianism,1,-80.0,-5.750332355499268,74.24966430664062,5.672578680659297e-33,1.0,0.0,1.0
VNM,Species,0,-80.0,-5.881463050842285,74.11853790283203,6.467374492288402e-33,1.0,0.0,1.0
VNM,Gender,1,-80.0,-5.852893352508545,74.14710998535156,6.285202989953687e-33,1.0,0.0,1.0
VNM,Gender,0,-80.0,-5.846932411193848,74.15306854248047,6.247863411899817e-33,1.0,0.0,1.0
VNM,Gender,0,-80.0,-5.804801940917969,74.19519805908203,5.9901112962270754e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.180732727050781,74.81926727294922,3.2092615755600676e-33,1.0,0.0,1.0
VNM,Gender,0,-80.0,-5.613306522369385,74.3866958618164,4.946163579469433e-33,1.0,0.0,1.0
VNM,Gender,1,-80.0,-5.723028659820557,74.27696990966797,5.519780945441708e-33,1.0,0.0,1.0
VNM,Age,0,-80.0,-5.166138648986816,74.8338623046875,3.1627623251193996e-33,1.0,0.0,1.0
VNM,SocialValue,0,-80.0,-5.402517795562744,74.59748077392578,4.006136542822189e-33,1.0,0.0,1.0
VNM,Age,1,-80.0,-5.059808731079102,74.94019317626953,2.843725260453561e-33,1.0,0.0,1.0
